index_origin,author,time,toefl,gre_total,gre_v,gre_q,gre_aw,district,season,type,offertype,major_school_apply,major_school,gpa,graduated,gre_raw,gre_sub,extrainfo,college_apply,major_apply,college_before,major_before,cross,gpa_measure,rl,intern,research,paper,first,sci,exchange
7371,mashulv,17,113,326,,,, 美国,Fall,MS,AD无奖,MFE/Fin/FinMath@MFin@MIT, Computer Science and Business & Finance double major @ NYU Shanghai,3.856,,326,,,MIT,MFE/Fin/FinMath, NYU Shanghai,Computer Science and Business & Finance double major,0,4,0,0,0,0,0,0,0
7372,babyfatshen,17,107,325,,,3.5, 美国,Fall,MS,AD无奖,CS@cmu, SE @ NJU,72,,325(3.5),,2年阿里码农,cmu,CS, NJU,SE,0,100,0,1,0,0,0,0,0
7376,graffixu95,17,110,327,157,170,3.5, 美国,Fall,MS,AD无奖,IEOR@Brown University, 化学 @ 上海交大,3.8,,170+157+3.5,"化学880,95%",,Brown University,IEOR, 上海交大,化学,0,4,0,0,0,0,0,0,0
7383,liruiErnest,17,99,325,160,165,3, 美国,Fall,MS,Offer,CS@OSU, CS @ CSU,86.5,,160+165+3.0,, 半年实验室经历,OSU,CS, CSU,CS,1,100,0,0,0,0,0,0,0
7384,破烂CC,17,102,320,154,166,3, 美国,Fall,MS,Rej,CS@CS@UTD, 软件工程 @ ,83,,154+166+3.0,,,UTD,CS, ,软件工程,0,100,0,0,0,0,0,0,0
7385,acerskyline,17,104,324,156,168,3, 美国,Fall,MS,AD小奖,CS@NYU Tandon, CS @ BJUT,3.85,,156 168 3.0,,,NYU Tandon,CS, BJUT,CS,1,4,0,0,0,0,0,0,0
7387,Figurative,17,109,328,160,168,4, 美国,Fall,MS,Rej,EE@Stanford, 电信工程及管理 @ BUPT,90.78,,V160+Q168+AW4,,无牛推，THU科研，3篇二作submitted,Stanford,EE, BUPT,电信工程及管理,0,100,0,0,1,1,0,0,0
7391,永远toujours,17,waived,332,164,168,, 美国,Fall,MS,AD无奖,Stat/Biostat@Duke University, Economics; Politics @ ,3.95,,164V+168Q,,,Duke University,Stat/Biostat, ,Economics; Politics,0,4,0,0,0,0,0,0,0
7392,wuyifu00,17,106,327,157,170,3, 美国,Fall,MS,AD无奖,CS@MSIT-SE@CMU, EC @ CUFE,89.7,,327(157+170)+3,,,CMU,CS, CUFE,EC,0,100,0,0,0,0,0,0,0
7394,caragao,17,107,322,,,3, 美国,Fall,MS,Rej,CS@CMU, 计算机科学与技术 @ 北航,NA,,322+3,,,CMU,CS, 北航,计算机科学与技术,0,NA,0,0,0,0,0,0,0
7398,tanbowen,17,102,325,160,165,3.5, 美国,Fall,MS,AD无奖,CS@MSBIC@CMU, major:material physics double major:info&computing @ 中山大学,91.1,,160+165+3.5,, CMU HCI实验室搬砖,CMU,CS, 中山大学,major:material physics double major:info&computing,0,100,0,1,0,0,0,0,0
7401,richardyidan,17,107,330,160,170,3, 美国,Fall,MS,Rej,Stat/Biostat@Statistical Science@Duke, 非统计专业 @ ,3.9,,160+170+3,, 无牛推,Duke,Stat/Biostat, ,非统计专业,0,4,0,0,0,0,0,0,0
7403,z3oc,17,107,323,153,170,4, 美国,Fall,MS,AD小奖,CS@Stony Brook, 信息安全 @ HUST,78,,153+170+4.0,, 全国信安竞赛奖，校内水科研，创业公司实习,Stony Brook,CS, HUST,信息安全,0,100,0,1,1,0,0,0,0
7409,1465697632,17,waived,323,,,3.5, 美国,Fall,MS,Rej,DataScience/Analytics@Uva, stats @ ,3.7,": stas @ , GPA  : 海外",323,,,Uva,DataScience/Analytics, ,stats,0,4,0,0,0,0,0,0,0
7410,weikangcai,17,99,322,154,168,3.5, 美国,Fall,MS,AD无奖,ME@JHU, ME @ SJTU,3.56,,154+168+3.5,,,JHU,ME, SJTU,ME,1,4,0,0,0,0,0,0,0
7414,ysyysyysy,17,110,327,157,170,3, 美国,Fall,PhD,Offer,EE@DUKE,  @ BIT,86,": ECE @ DUKE, GPA  4.0/4.0: 海外",157+170+3.0,, 两封杜克教授推荐信,DUKE,EE, BIT,,0,100,0,1,1,0,0,0,0
7415,futuregong,17,101,334,,,4, 美国,Fall,MS,AD小奖,CS@UVA, 信计 @ 天工大,NA,,334+4.0,, 索尼Java web实习，Android app开发，大创手语识别项目，物联网竞赛,UVA,CS, 天工大,信计,0,NA,0,1,1,0,0,0,0
7416,caterady,17,104,332,,,4, 美国,Fall,MS,Rej,Stat/Biostat@stat@umich, 华罗庚数学班 @ 北航,3.85,,332＋4,,,umich,Stat/Biostat, 北航,华罗庚数学班,0,4,0,0,0,0,0,0,0
7420,luyiceo,17,100,319,,,, 美国,Fall,MS,AD无奖,CS@1AD INI-MSIT-MOB@CMU 2ADd  msit-se@CMU, CS @ ,85,,319,,,CMU,CS, ,CS,1,100,0,1,0,0,0,0,0
7425,John_Lin,17,101,325,,,4, 美国,Fall,MS,AD无奖,CS@MSIN@INI@CMU, 信息工程 @ 东南大学,89.67,,325+4.0,,,CMU,CS, 东南大学,信息工程,0,100,0,0,0,0,0,0,0
7428,wuyx5,17,IELTS 7.0,318,148,170,, 美国,Fall,MS,AD小奖,DataScience/Analytics@Bentley,  @ 武大,3.6,,148+170,,,Bentley,DataScience/Analytics, 武大,,0,4,0,0,0,0,0,0,0
7429,gnolli,17,108,336,167,169,3.5, 美国,Fall,MS,Rej,CS@CMU, CS @ ,3.7,,V169 Q167 AW3.5,,,CMU,CS, ,CS,1,4,0,0,1,0,0,0,0
7432,Adoni,17,97,315,148,167,, 美国,Fall,PhD,Offer,CS@Stony Brook, CS @ 哈工大,88.5,": CS @ 哈工大, GPA  84 2/193:",148+167,,,Stony Brook,CS, 哈工大,CS,1,100,0,0,0,0,0,0,0
7434,蒙面武士,17,101,326,,,, 美国,Fall,MS,AD无奖,CS@cmu, cs @ uestc,87,,326,,,cmu,CS, uestc,cs,0,100,0,0,0,0,0,0,0
7435,Justin1904,17,116,337,167,170,3.5, 美国,Fall,PhD,Offer,CS@UCSB, Applied Math @ 武汉大学,3.76,,167V 170Q 3.5AW,, 我在本校做科研的实验室的导师似乎和我一开始陶瓷的UCSB教授认识,UCSB,CS, 武汉大学,Applied Math,0,4,0,0,1,0,0,0,0
7437,jiangduobaozi,17,101,326,156,170,, 美国,Fall,MS,AD无奖,EE@UCSD, 光电 @ BUPT,3.11,,156+170,,,UCSD,EE, BUPT,光电,0,4,0,0,1,0,0,0,0
7438,红楼未完,17,96,320,,,, 美国,Fall,MS,AD小奖,Econ/Biz@Northeastern University, econ+math @ SUFE,NA,,320,,,Northeastern University,Econ/Biz, SUFE,econ+math,0,NA,0,0,0,0,0,0,0
7439,bychang,17,waived,312,148,164,3, 美国,Fall,MS,AD无奖,CS@GWU, cs @ ,3.81,,148+164+3,,,GWU,CS, ,cs,0,4,0,0,0,0,0,0,0
